id_campanha,nome_campanha,tipo_campanha,data_inicio,data_fim,orcamento_total,gasto_total,produtos_participantes,impressoes,cliques,conversoes,ctr_percent,taxa_conversao_percent,cpc_medio,roas,status_campanha
CAMP001,Promoção Eletrônicos Janeiro,Produto Patrocinado,2024-01-01,2024-01-31,5000.00,4750.80,"PROD001,PROD005,PROD008,PROD013",125600,3890,87,3.10,2.24,1.22,4.85,finalizada
CAMP002,Black Friday Roupas,Vitrine,2023-11-20,2023-11-30,8000.00,7890.45,"PROD002,PROD006,PROD011",198750,8965,156,4.51,1.74,0.88,6.12,finalizada
CAMP003,Volta às Aulas 2024,Produto Patrocinado,2024-01-15,2024-02-29,3500.00,2100.60,"PROD004,PROD009",89560,2340,45,2.61,1.92,0.90,3.87,ativa
CAMP004,Casa & Decoração Fevereiro,Display,2024-02-01,2024-02-28,4200.00,1890.30,"PROD003,PROD007,PROD012,PROD015",67890,1980,38,2.92,1.92,0.95,4.23,ativa
CAMP005,Beleza e Cuidados,Produto Patrocinado,2024-01-20,2024-03-20,2800.00,1456.70,"PROD010,PROD014",45600,1205,29,2.64,2.41,1.21,5.67,ativa
CAMP006,Mega Oferta Smartphones,Vitrine,2024-02-10,2024-02-20,6000.00,5890.20,"PROD001,PROD013",156700,7234,98,4.62,1.35,0.81,5.89,finalizada
CAMP007,Especial Dia das Mulheres,Display,2024-03-01,2024-03-10,3000.00,890.45,"PROD006,PROD009,PROD014",34560,890,18,2.58,2.02,0.99,4.12,agendada
CAMP008,Liquidação Inverno,Produto Patrocinado,2024-06-01,2024-08-31,10000.00,0.00,"PROD002,PROD006,PROD011",0,0,0,0.00,0.00,0.00,0.00,agendada
CAMP009,Prime Day Brasil,Vitrine,2024-07-15,2024-07-17,15000.00,0.00,"PROD001,PROD005,PROD008,PROD012",0,0,0,0.00,0.00,0.00,0.00,agendada
CAMP010,Natal Antecipado,Display,2024-11-01,2024-12-25,12000.00,0.00,"PROD003,PROD004,PROD007,PROD009,PROD010",0,0,0,0.00,0.00,0.00,0.00,agendada
